word,segmentation,related_words
fencer,,fence; fencing
jeer,,cheer; sneer; jibe; jest; joke
jibe,jibe,jiba; jeer
mirth,,mire; smirk
guffaw,guff.aw,guffy; gaffe; gaff
chuckle,chuck.le,chuck; snicker; laugh; quiet; unpleasant; chortle
chortle,chort.le,chuck.le; short
whimper,whim.per,whip; simper; whine; wail; whim
whine,wh.ine,whimper; wail
wail,wail,whimper; whine; wailing; wall; veil
howl,howl,cowl; howler
gander,,gaggle
falcon,,
cheetah,,
hound,,
bison,,
buffalo,,
steer,,
mare,mare,tare; nest
farrow,,fallow; barrow
gaggle,ga.ggle,go.ggles; goo.gle; gander
drove,,herd
cygnet,,
kitten,kitt.en,
minnow,,
pullet,pull.et,pulley
colt,,cult
filly,,foal
fawn,,frown
smirk,smirk,mirth; smoke; smear
simper,,
snicker,,also; snigger; sneaker; chuckle; laugh; quietly
jest,jest,jost.le; just; chaff; jeer
tease,,
sneer,,veneer; jibe; with
mock,,
taunt,t.aunt,taut; daunt; flaunt; haunt; jaunt; aunt
howler,howl.er,hiatus
derision,derision,deride; derisive; satirical
scoff,,cuff
sarcasm,,satire
hippocampus,hippo.campus,hip.po; hippo.potamus; campus
walrus,wal.rus,wal.nut; tusk
leviathan,le.via.than,
gazelle,gaz.elle,gaz.ette.er; gaze
hedgehog,hedge.hog,hege.mony; hedge
porcupine,,pork; pine; porpoise
badger,,badge
dormouse,,dorm; mouse
mammoth,mam.moth,moth
rhinoceros,rhino.cer.os,cer.os; rhino
lynx,,
jackal,,
tigress,tig.ress,tig.er
lioness,,
leopard,leo.pard,part; pardos
vole,,vile; mole
squirrel,squir.rel,squir; squire; squirt
chipmunk,chip.munk,monk; mock
ferret,,
sable,sable,fable; lable; gable; sabre
kangaroo,,
vixen,vix.en,vexation; vector
hyena,,
jaguar,ja.gu.ar,jugular
panther,,
puma,,jaguar
cougar,,
giraffe,gi.raffe,graf.fiti; raffish; graft
boar,,
sow,,
folk,,
flock,fl.ock,bl.ock; lock
beverage,be.ver.age,be.ver.ly; Hills
imbibe,,Bible
bevy,bevy,beverage
ape,,
simian,,similar
nib,,
cannibal,can.nib.al,can.nab.is; nibble
predator,pred.ator,dict.ator; conspir.ator; prey
prey,,predator
crustacean,crust.acean,cara.pace; ocean; crust
mollusc,moll.usc,moll.ify; e.moll.ient
hexapod,hexa.pod,hexagon; sextant; insect
finch,finch,fin.land
reptile,rept.ile,sur.rept.itious; crept; creep
feline,fe.line,felicity
primate,,prime
mongrel,mong.rel,dog.ge.rel; war.mong.er; erel; Mongolian
ungulate,un.gu.late,un.gu.ent
poach,poach,re.proach; coach; roach; cockroach
pouch,pouch,cr.ouch; couch; poach; porch
marsupial,,pouch
invertebrate,in.verte.brate,vi.brate; cele.brate; ungulate
vertebrate,,
weasel,,
skunk,,
sloth,,adj.v; slow; slosh; slither; slough
mastodon,masto.don,masto
hippopotamus,hippo.potamus,hippo; potamus; Meso; potamia
vermin,ver.min,
pupa,pupa,pupil
proboscis,pro.bo.scis,boss; imbibe
mosquito,mos.quit.o,mos.que
prawn,pr.awn,shrimp
crayfish,cray.fish,cray.on; clay
shrimp,,shrink; prawn
oyster,,mollusc
swarm,,swamp
flounder,fl.oun.der,f.oun.der; finder
cuttlefish,cuttle.fish,scuttle; kettle; squid
mermaid,,
terrapin,,terra; terrain; tortoise; turtle
dinosaur,dino.saur,cent.aur; Sagittarius
lizard,,
vulture,vulture,culture
condor,,vulture; condo
sparrow,spar.row,spare; spark
thrush,th.rush,th.rust; th.rash
owl,,
petrel,petr.el,petr.ol; petr.ol.eum; petr.ify
petrol,petrol,petrel; petroleum
grouse,gr.ouse,h.ouse; m.ouse; gr.oss
quail,qu.ail,quill
robin,,ribbon
kingfisher,,fisher; king
heron,her.on,helen
penguin,,
hummingbird,,
brood,,breed; brook
hibiscus,,peony; biscuit; hiatus
gardenia,,garden
carnation,,
vanilla,van.illa,gor.illa; ella; elle
orchid,,orchestra
cactus,cac.tus,cauc.us; calculus; calculate
rhubarb,,barb
nettle,,Nestle
tare,,tarn
shrub,,shrug; scrub; thicket
thicket,,vegetation
vegetation,vege.tation,vege.table; flora; fauna
bough,bough,bough.pot; bought; elbow
spruce,sPruce,Prussia
willow,,will
sallow,sall.ow,will.ow; pasty
larch,larch,birch
birch,birch,larch; belch
eucalyptus,eu.calyp.tus,apo.calyp.se
elm,,
cypress,cy.press,Cy.prus
almond,,apricot
dolphin,,
porpoise,por.po.ise,poise; porcupine
gadfly,,goad
scorpion,scor.pion,scor.ch; scour.ge
centipede,,
tadpole,,polli.wog; pole; toad; poll; pool; wiggle; waggle
larva,,lava
caterpillar,cater.pillar,cater.er; larva; pillar
sprout,,spring; spout
kernel,,
pod,,
shuck,shuck,shack; shock; chuck; hull
chaff,,bran
rind,rind,find
gnarled,gnarl.ed,snarl; snake; gnarl
prickle,prick.le,pickle; prick
stalk,s.talk,talk
stem,,stalk
node,,
bark,,
pollen,,poll
foliage,foli.age,plum.age; folio
frond,fron.d,fron; fern
yeast,yeast,year
leaven,,leave
enzyme,en.zyme,zym.urgy; zygote; embryo
ephemeron,,ephemera; ephemeral
plankton,plank.ton,ephemeron; plank
mildew,,mild; wild; mold
efflorescence,ef.flor.esc.ence,ef.flor.esc.ent; flor.ence; esc.ent; esc.ence; esce
fern,fern,frond
xerophyte,xero.phyte,xero.x; xero.graphy; neo.phyte; zero; physics
heliotrope,helio.trope,heli.copter; helium; helix; strophe; xerophyte; trope
conifer,con.ifer,Jenn.ifer; cone
liana,li.ana,liaison
herbaceous,herb.ace.ous,herbivore
balsam,bal.sam,balm; salve
chrysanthemum,chrys.anthem.um,chrys.alis; chrys.ograph; anthem
corral,corral,coral; carol
coop,,
aviary,,api.ary
nestle,nest.le,nest; nettle
roost,roost,roost.er; roster
spoor,,spook; spore
burrow,burrow,bunny; furrow; bury; barrow; wheelbarrow; borrow
talon,,
hoof,,
carapace,cara.pace,cara.van; cara.mel; crustacean; pace
scale,,
roe,,
spawn,sp.awn,pawn; dawn; fawn; lawn; yawn; prawn
zygote,,embryo; enzyme
antenna,an.ten.na,
tusk,,task
sting,,
quill,,
snout,snout,snort; snot; stout
slough,slough,slither; house; trough
molt,molt,mold; melt
gossamer,gos.sam.er,
fuzz,fuzz,fuzzy; fluff
fluff,flu.ff,flu.ffy; flu.rry; flu.tter; fuzz
plumage,plum.age,foliage; plume; plumbing; plummet; fledgling; plum
plume,,plum.ber; plum.b; flume; plummet; plumage; foliage
spear,,
sap,,
twig,,
sprig,,twig; prig
razor,,
file,file,defile
saw,saw,jigsaw; seesaw
plane,,
shovel,shov.el,shove; spade
trowel,tr.ow.el,t.ow.el
spatula,spat.ula,spade; spit; spat
anvil,,
mallet,mall.et,mall
sledgehammer,,sledge
gavel,,give; gravel
mop,mop,mope
helve,helve,halve; haft; hilt
hoop,hoop,hoopla; hooligan; house; green
flail,,frail
grill,,
barbecue,bar.be.cue,grill
skew,skew,skill; skewer; slew; stew; steward; brew; slant
skewer,,skew
spindle,spind.le,spind.ly; spin
gouge,,gorge; gauge; chisel
pendulum,pend.ul.um,compendium
pestle,pest.le,epi.stle; pest
apiary,,
hive,,
fishery,,
kennel,kenn.el,
trough,,tree; cough; tough
steward,stew.ard,stew.ard.ess; Stuart
pigsty,,feisty
hose,hose,host
hydrant,,hydraulic
sluice,slu.ice,slut
throttle,thro.ttle,bottle
valve,valve,value
scissors,sciss.or.s,cissi; narcissism; sicc; desiccant; abscissa; sciss
mow,mow,lawn.mower
lawnmower,,
rake,rake,lake
fork,,
hoe,,
spanner,,
corkscrew,,cork
secateurs,,
sickle,sick.le,sick
chisel,,gouge
beater,,
screwdriver,,
spike,,
rivet,riv.et,riv.er; velv.et
nippers,ni.pper.s,ni.pple; snip
pliers,p.liers,liers
pincer,pin.cer,pinch
tongs,,
clamp,clamp,clam
cep,cep,forceps
forceps,for.cep.s,
scythe,scythe,sciss
snip,,nippers
opal,,
gem,,
lacework,lace.work,
tassel,tass.el,toss; Tess; Theresa; TASS
fascia,fa.sc.ia,fa.sc.ist
antique,,adj.n.v; antiquity; antic
kaleidoscope,ka.leido.scope,kali; eido; idol
marionette,marion.ette,Marie; Mary
tapestry,,tape
mosaic,mosa.ic,
parquet,par.quet,ban.quet; bou.quet; park
cushion,,
bolster,,bolt; bluster
mattress,mat.tress,mis.tress; dis.tress
couch,c.ouch,c.oach; cr.ouch; settee; lounge
upholstery,up.holst.ery,holster
chandelier,chan.de.li.er,chan; chand
wreath,,wraith
fabric,fab.ric,fab.le
textile,,
crochet,cro.chet,cli.ch; ca.chet; sa.chet
embroidery,em.broid.ery,em.broid.er; broil; braid
sampler,,sample; embroidery
arabesque,arab.es.que,es.que; arab; pictur; grot
fret,,
stencil,sten.cil,pen.cil; o.graphy; sten
filigree,fili.gree,fili.buster; glee; gree
fretwork,,grot.esque; pictur.esque; burl.esque; arab.esque; frieze; lacework
porcelain,por.ce.lain,lain; porc; pork; ceramic
forgery,forgery,forge; forfeit; fraud; perjury
initiative,,
flair,,
knack,,knock; snack; whack
forte,,fort.night; fortress; fortnite
intellect,intel.lect,intel.lect.ual; intell.ig.ent; intelligence
grindstone,,whetstone
millstone,mill.stone,mill; stone
hone,,horn
slat,slat,slab; slit; slut; slate; flap; plank
slate,,
meteorite,me.teor.ite,me.teor; me.teor.ology; terior
monolith,,boulder
grit,,
gravel,grav.el,av.el; grave; grit
rubble,rubb.le,rubber; rubbish; rabble; bubble
cobblestone,cobble.stone,cobbl.er; rubble; pebble
pebble,pebble,peddle; peddler; cobblestone
boulder,,shoulder; monolith
flint,f.lint,sp.lint; glint; stint
granite,,
shale,,shell; shoal; James
lava,lava,lava.tory; larva
bauxite,,
gneiss,gnei.ss,gnei
rhinestone,rhine.stone,rhino; rhine
amethyst,a.meth.yst,
turquoise,tur.quo.ise,Tur.key; quote
jade,jade,jadeite
emerald,e.mer.ald,
sapphire,sap.phire,sap.ling; fire; phire
-latry,,
pluto,,
plutolatry,pluto.latry,ido.latry
empiricism,,empirical
pragmatism,prag.mat.ism,prag.mat.ic; pract.ice
eclectic,ec.lect.ic,ec.centr.ic
jingoism,jingo.ism,jing.le
chauvinism,,chauf; feur
nihilism,ni.hi.lism,ni.hi; lism
pessimism,,opti.mism
cynic,cynic,cynical
insular,,insulin
fanaticism,,fan.at.ic; zealot
epicurean,,epicure
exhibitionism,exhi.bi.tion.ism,exposition; exhibition
egoism,,
narcissism,nar.ciss.ism,ciss; itude; cissi; sicc; desiccant; sciss; abscissa; scissors
altruism,,
rectitude,,
integrity,,integer
probity,prob.ity,prob.ation; ap.prob.ation; prob.ability; vera.city
veracity,ver.a.city,ver.ify; velocity
ideology,ide.ology,idea
mores,,more; ethos; ethnos; morass
ethos,,ethn.ic; ethn.ology; mores
binomial,bi.nomi.al,polynomial
pickle,pick.le,pick; prickle
polynomial,,bi.nomi.al
hype,hype,hyperbole; rbole
plush,,lush
impropriety,im.pro.priety,pro.per; pro.priety; iety
flippant,flip.pant,un.fl; p.pable; flip
gaffe,gaffe,guffaw; gaff
solecism,sole.cism,sole; cism
malapropism,,
comportment,comportment,port.ent; deportment; demeanour; comport
demeanour,de.mean.our,mis.de.mean.o; de.port.ment; com.port.ment; port.ent
porter,,Harry; Potter
comport,com.port,com.port.ment; de.port.ment; port.ent
deportment,de.port.ment,com.port.ment; demeanour
etiquette,eti.qu.ette,
decorum,de.cor.um,de.cor; de.cor.ate; en.com.ium
defer,defer,deference; ence
deference,defer.ence,obe.di.ent; obe.is.ance; compliance
complaisance,com.plais.ance,com.plac; com.plain; ex.plain; please; ence
felicity,,feli; felin; feline
intimacy,,
obeisance,obei.sance,s.ance; defer.ence; obei; obey; obedience; compliance
pensive,,
reflective,,inflect; refract; refraction; fract; reflector
deliberate,de.liber.ate,liber
speculate,spec.ul.ate,spec.ial; spec.ul.ator
meditate,med.it.ate,
cogitate,cog.it.ate,cogn.ate; formal
temporary,tempor.ary,tempor; momentary
contemporary,con.tempor.ary,tempor.ary
contemplate,con.templ.ate,templ.ate; con.templ.ation; con.tempor.ary; temple
yolk,,yelk; yokel
lancet,,free.lance
complement,,sup.ple.ment; complete; compliment; compliance
imprecation,im.pre.cation,im.pli.cation; im.pre.cise; im.pre.sario; im.pre.ssion; pre.vari.cate; pre.dica.ment; deprecate; spell; incantation; curse
malediction,,imprecation; benediction
anathema,ana.the.ma,
compliment,,compliance; complement; complaisance
encomium,en.com.ium,com.mie; com.ic; com.edy; eu.phem.ism; de.corum; eu.logy
eulogy,eu.logy,e.legy
euphemism,eu.phem.ism,phem; blas; encomium
recognition,re.cogn.ition,
benediction,,benevolent
approbation,ap.prob.ation,ap.prove; prob.ation; sanction
kudos,,kill
tribute,tribute,contribute; tributary; tribe; tribulation
enormity,e.norm.ity,atrocity
hardball,,baseball
inertia,inertia,inane; inert; inertial
sober,so.ber,sombre
inebriated,in.ebri.ated,ebri; ated
insouciance,,blithe; souvenir
ineptitude,in.ept.itude,inept
delinquency,de.linqu.ency,re.linqu.ish; de.linqu.ent
detriment,detriment,de.trit.us; trite; hands; hand; part; interests
peccadillo,pecca.dillo,im.pecca.ble
feeble,,foible
foible,foi.ble,fee.ble; foil; peccadillo
deficiency,de.fici.ency,de.fici.t; suf.fici.ent; ef.fici.ent; pro.fici.ent; inficient; inefficient; defect
fallacy,,
discompose,dis.compose,de.compose; dis.comfort; dis.comfit; dis.tr.aught; composure; perturb; disturb
gauche,gau.che,gaudy
velvet,,
falsify,fals.ify,false; falsies; falsie
jabber,jab.ber,
gabble,gabb.le,jabb.er
stutter,,stammer
stammer,stam.mer,star.mer; stut.ter
stumble,stumble,vt.vi; tumble; over; fumble; bumble; blunder; humble
bumble,bum.ble,bum.per; tum.ble; stum.ble; fum.ble; vt.vi; hum.ble; over
babble,,bar.bar.ian; bauble; bubble; gabble; informal
prattle,prattle,rattle; chatter; babble
extemporize,ex.tempor.ize,tempor
reiterate,,iter.ate
explicate,ex.plicate,com.plicate; im.plicate; extricate
elucidate,e.lucid.ate,e.luminate; il.lumin.ate; lucid
elaborate,e.labor.ate,
ejaculate,ejac.ul.ate,ul.ate; ejac; eject
drawl,,trawl; drawn
enunciate,e.nun.ci.ate,nun.ci; ation; pronounced; enunciated
subterfuge,sub.ter.fuge,surreptitious
pretext,pre.text,pre.mise; con.text
pretence,,pretend; pretext
perjury,per.jury,per.jure; forg.ery; fraud; jury
affidavit,af.fid.avit,avid; avit
canard,can.ard,banal
hearsay,,
invective,in.vect.ive,vect.or; expletive; vehement
opprobrium,op.probr.ium,ob.loquy; problem
innuendo,in.nu.endo,endo; insinuate
libel,lib.el,liber.al; slander
calumny,ca.lum.ny,co.lumn; derision
aspersion,,dispersal
embroil,em.broil,im.broglio; broil
imbroglio,im.brog.lio,em.broil
hassle,hassle,harry; tussle
tiff,TIFF,
shrill,shrill,shriek
shriek,shr.iek,shr.ill
drone,,
clack,clack,crack; cloak
din,din,caco.phony
detonation,de.ton.ation,in.ton.ation; implode; implosion; explode; explosion
fanfare,,fare
honk,,gander
croak,croak,cloak
sibilant,,spirant
blare,,Blair
raucous,rauc.ous,cacophony; strident
husky,hu.sky,
grating,,grate; grat
trident,trident,strident
strident,stri.dent,stri.de; tri.dent; sino; raucous
cacophony,caco.phony,sym.phony; rauc.ous
stentorian,sten.tor.ian,sten
sonorous,son.or.ous,son.ar; son.ic; re.son.ant; con.son.ant; oro.tund
resonant,re.son.ant,con.son.ant
orotund,,sonorous; oratorio
mellifluous,melli.flu.ous,mellon; melli
dulcet,,dulci.mer; tacet; mellifluous
heroics,,
locution,locution,e.locution; location; locus
prevaricate,pre.vari.cate,pre.dica.ment; im.pre.cation
equivocate,equi.voc.ate,un.equi.vocal; ad.voc.ate; voc.ative; con.voc.ation; prevaricate; equilibrium; equanimity
bane,bane,pane; jane; lane; bale; baleful
gnat,,gnaw; gnarl
irony,iron.y,iron.ic
fluke,flu.ke,flu.te; luck
expediency,ex.pedi.ency,ex.pedi.ence; im.pedi.ment
makeshift,,
inducement,,induce; seduce; induction
incipient,,inception
aftermath,,re.per.cuss.ion
repercussion,re.per.cussion,per.cussion; con.cussion; dis.cussion; aftermath; backlash
anachronism,ana.chron.ism,chron.ism; the.ma
fad,,goad
vicissitude,vi.cissi.tude,nar.cissi.sm; up.heaval; sciss; abscissa; scissors; sicc; desiccant; viscera; tumultuous; turmoil
flux,flux,influx
elapse,e.lapse,lapse
lapse,lapse,elapse; relapse
perennial,per.enn.ial,
eon,,
longevity,,
antiquity,anti.quity,e.quity; anti.que
transient,transi.ent,in.transi.gent; transi.tory
transitory,,transient
momentary,,moment.um; moment.ous; temporary
fleeting,,
evanescent,eva.ne.scent,scent; escent
quibble,quibb.le,squabb.le; quip
squall,squ.all,squ.ash
squad,squ.ad,squ.at; squ.id; squ.al.id; game; swat
squat,squat,squad; swat
squabble,,
horizon,hori.zon,horse; zone
ether,e.ther,e.ther.net
constellation,,Stella
magnitude,magn.itude,magn.ific.ent; magn.ate
apogee,apo.gee,peri.gee
perigee,,apogee
sizzle,sizz.le,
scorch,scor.ch,score; torch; scorpion; scourge
havoc,havoc,plunder; pillage
fulminate,ful.min.ate,ful.min.ation
decompose,de.compose,dis.compose
icicle,ic.icle,test.icle; popsicle
flake,flake,flak
avalanche,,
tempest,temp.est,cloudburst
cloudburst,,downpour
monsoon,mon.soon,mon.th; moon
deluge,,
downpour,,pour
drizzle,dri.zzle,pu.zzle; da.zzle
conflagration,,
cataclysm,cata.cly.sm,cata.strophe; calamity; calamos; apocalypse
tailwind,,
zephyr,,
tornado,,cyclone
cyclone,cycl.one,re.cycle; cl.one
gale,,gust; wind; squall
mistral,,
specifics,,specific; specification
particular,part.ic.ular,specific
denominator,de.nomin.ator,nomin.ate; nomin.al; de.nomin.ation; de.nomin.ational
decimal,,decimate; decibel
decibel,deci.bel,deci.mal
cylinder,,
coordinate,,inordinate; subordinate; ordinate; abscissa
congruent,con.gru.ent,congru.ence; grue.some; glue
divisor,di.vi.sor,di.vi.de; di.vi.dend
circumference,cir.cum.fer.ence,circum.locution; perimeter; circumstance; circumvent
chlorine,,chole
centrifuge,centri.fuge,centri; fuge; centrifugal; force; centripetal
calorie,,
calibrate,ca.libr.ate,ca.libre; gauge
calcium,,calc.ul.ate; calc.ul.us; recalcitrant
bisect,bi.sect,di.chotomy; dis.sect; halve
ammonia,am.mon.ia,Am.mon; pneu.mon.ia; klepto.mania
aluminium,a.lumin.ium,a.lum; a.lumin.um; il.lumin.ate
algebra,,
ordinate,ordinate,co.ordinate; in.ordinate; sub.ordinate; abscissa; ordination; ordinance; ordnance; ordinary
abscissa,ab.scissa,sciss.or.s; scissa; isosceles; ordinate
palette,pal.ette,pal.ate
staple,,maple
stationery,station.ery,station.ary; station.er
wig,,
toupee,,
tresses,tress.es,trest.le; truss
ringlet,,tress.es
plait,pl.ait,plaid
implosion,,implode; implore; explode
corona,co.ro.na,corolla
cynosure,cyno.sure,ca.nine; cyno.logy; sino
multiple,,multiply; multiplication; quadruple; multitude
menthol,,meth.amphe.tamine
momentum,moment.um,
minus,,subtract; subtracted; from; minor
minimum,mini.mum,mini; maximum
maximum,,Maxi; minimum; maxim
median,,radian
margin,,
lustrous,lus.trous,il.lus.trator; il.lus.trious; lusc.ious; lust
lumen,lu.men,
isosceles,iso.sce.les,abscissa; isotope
irrational,,
iodine,io.dine,
intersect,,
infiltrate,,in.fill; percolate
impetus,impetus,moment.um; impulse
hypotenuse,,hypo
helium,,helios
fraction,fraction,fragment; faction; friction; fract; fractious; formal; refractory; fracture; infraction
flammable,flammable,inflammable; able; inflamed
ferrous,,
exposure,,
etch,,itch
equilibrium,equi.libr.ium,equa.nimity; libra
ellipsoid,el.lip.soid,el.lip.se; el.lip.sis; lip.se
ellipse,el.lip.se,el.lip.sis; ec.lip.se
elasticity,,e.last.ic
distill,dis.till,dis.till.ate
dissolve,,solvent; dissolute; solve; resolve
diagonal,di.agon.al,pent.agon; hex.agon
segment,,
round,,
rigid,rigid,rigor.ous; frigid.ity
rhombus,,rebus
resilience,re.sili.ence,e.last.icity; sily
remainder,remain.der,remain; remnant
reciprocal,reci.pro.cal,reci; reciprocity
ratio,ratio,proportion
radius,radi.us,radi.an; radi.um; radi.o
radian,,radius
quotient,,dividend; divisor; remainder; quota; quotidian
quantum,quant.um,quant.i.tative; quadr.ant
quadrilateral,quadri.lateral,quadru.ple; quadr.ant; quadr.enn.ial; quadri; lateral
quadrant,qua.dr.ant,qua.dr.up.le; n.v.adj; quant.um; quant.a; sextant
putrefaction,putre.faction,putr
pulverize,pul.ver.ize,
proportion,,ratio; portion
prime factor,,prime
polymer,poly.mer,poly.ester; poly.styr.ene
plasticity,,plastic; plaster
perpendicular,per.pend.ic.ular,
permutation,per.mut.ation,com.bin.ation
percolate,per.col.ate,col.umn; in.fil.trate
pentagon,pent.agon,pent.house
oxidize,ox.id.ize,ox.ide
overlap,,
osmosis,,
nicotine,,
multiplication,,multi.ply; multitude
multiply,mul.ti.ply,mul.ti.ple
accordion,ac.cord.ion,ac.cord; harmonica
cello,cell.o,
viola,,eb.ola; violin; cello; fiddle
violin,,
harp,harp,harpoon; harpa
harpsichord,,
dulcimer,,dulcet
reed,,
oboe,,bassoon
saxophone,,
piccolo,,cornet
flute,,fluke; piccolo
bassoon,bass.oon,bass
tambourine,,tambour
tambour,tambour,tambourine; tandem; tantrum
clapper,clap.per,clip.per; clap
watt,,
volume,,
vibrate,vibr.ate,vibr.ant
trapezoid,trape.zoid,trap; ellipsoid
torque,tor.que,tor.ture; tour.ni.quet; talk
tangent,,
sulfide,sulf.ide,sulf.ate; sulf.ur; sulph.ur; self
subtract A from B,,contract; tractor
stasis,stasis,stagnation; staid; stale; stagnate
sphere,,
spectrum,,spec.tra; spec.ial; speck
solidity,,solid.ar.ity; solitary
solder,,sold; sell; soldier
slope,,landslide
refrain,,
tonality,,atonal
phrase,phrase,periphrasis; catchphrase
pitch,pitch,roll
vivace,viv.ace,viv.id; allegro; fast; lively
allegro,al.leg.ro,al.lege; al.leg.ory; al.lo.pathy; presto
atonal,a.ton.al,ton.al.ity; atone
crescendo,crescendo,crescent
lento,,relent; relentless
diminuendo,di.minu.endo,cre.scendo; di.min; di.minu.tive
provenance,proven.ance,proven; ance
perspective,,perception
gusto,,gustation
verve,,nerve; fervour; very; strong; feelings; about
histrionic,his.tri.on.ic,his.tory
improvise,im.provise,provid.ent; provide
rehearsal,,
exposition,,position; expose; exhibition; explicate
strum,strum,in.strum.ent
premiere,pre.mi.ere,pre.mi.er; debut
troupe,,troop; trope
orchestra,orchestra,stall; orchestrate
chorus,chor.us,chord; choir; chore
libretto,libr.etto,libr.ary; stil.etto
scenario,scen.ario,scen.e; scen.ery; m.ario; impres.ario
baton,,
bugle,,
trumpet,,Trump; trumpery
cornet,corn.et,trumpet; piccolo; corn
trio,trio,quartet
pirouette,pi.rou.ette,route; router
minuet,,minute
cornucopia,corn.u.copia,copy; copia
effigy,ef.figy,figur.ine; caric.ature
bust,,
relief,,relish
relieve,re.lieve,re.leave; relief
figurine,fig.ur.ine,fig.ure; fig.ur.ative; statut.ette
statuette,,statue; statute; figurine
colossus,co.loss.us,loss
statuary,,
cursive,,curse
mural,,fresco
fresco,,fresh
pastel,past.el,pest.le; past.or; crayon; pastoral
crayon,,crayfish; clay; pastel
tableau,,plateau
collage,coll.age,coll.ege; coll.ect; pastiche
caricature,car.ic.ature,cartoon; effigy
bass,,perch
baritone,bari.tone,alto
alto,alto,soprano; mezzo; tenor; baritone; bass; contralto; countertenor
soprano,so.pra.no,pra.no; piano; soporific
timbre,timbre,timber; sombre
staccato,stacc.ato,ob.blig.ato; stay
gamut,,gambit
piano,,
moderato,,moderate
presto,pre.sto,al.leg.ro
obbligato,ob.blig.ato,stac.cato; lige
pantomime,pan.to.mime,mime
pageant,page.ant,paean; song; praise; victory
farce,,fart; farsi
burlesque,bur.les.que,grot.esque; pictur.esque; arab.esque; burr
melodrama,,melody
comedy,come.dy,
epilogue,epi.logue,pro.logue; ec.logue; opening; denouement
monologue,mono.log.ue,dia.log.ue; cata.log.ue; mono.graph
costume,,
thespian,,
recital,re.cit.al,re.cite; in.cite
ensemble,,
descant,des.cant,de.cant; chant; scant
quartet,qu.art.et,qu.art.er; quadr
oratorio,ora.tor.io,orchestra; cantata; choir
operetta,,opera
opera,,
aria,ar.ia,Arya; Stark
jazz,,
coda,coda,code; epilogue; cadence
overture,over.ture,true; ture
fugue,,
serenade,se.ren.ade,se.rene; noc.turne
rhapsody,rhaps.ody,thren.ody; fantasia; rapture; enrapture; ravish
nocturne,noc.turne,turne; nyctalopia
ditty,ditty,ditto
caprice,cap.rice,rice
fantasia,fanta.sia,fan.atic.ism; rhapsody; Fanta
movement,,
inflect,in.flect,re.flect; de.flect; in.flict; reflector
fetter,fett.er,
manacle,man.acle,e.quin
pillory,pill.ory,pill.ar
reminiscence,re.mini.scence,science
travelogue,travel.ogue,travel.og
biography,bio.graphy,auto.bio.graphy
memoir,mem.oir,re.serv.oir; memento
folklore,,
anecdote,a.nec.dote,
pastiche,past.iche,cl.iche; st.itch; par.ody; thren.ody; rhaps.ody; pasta; niche; melody; charade; past
ballad,ball.ad,ball
madrigal,,Madrid
lullaby,lull.a.by,lull
keen,,
elegy,elegy,eulogy; threnody; dirge
dirge,dirge,elegy; threnody
threnody,thren.ody,rhaps.ody; throw; melody; elegy; dirge
paean,pae.an,pageant
anthem,,
lyric,lyric,idyll
eclogue,ec.logue,pro.logue; epi.logue
idyll,i.dyll,i.dle; i.dol
ode,ode,odour; paean
epic,epic,epoch
epigram,epi.gram,holo.gram; dia.gram; tele.gram; kilo.gram; pro.gram; resist; everything; except; temptation; eclogue; aphorism; saying; maxim; adage; proverb
doggerel,dog.ge.rel,mong.rel; war.mong.er; erel; limerick
verse,,version
stanza,stanza,Co.stanza; Seinfeld; strophe; refain
strophe,strophe,apo.strophe; cata.strophe; strophy; verse; trope; phrase
repertoire,re.pert.oire,re.pert.ory; re.serv.oir; re.posit.ory
psychology,,
pathology,path.ology,a.path.etic; path.etic
pharmacology,phar.mac.ology,pharmacy
orthodontics,,Orthodox; orthopedic
obstetrics,ob.ste.trics,paed.ia.trics; ger.ia.trics; bar.ia.trics; obsequies; obsteperous
psychiatry,psy.ch.ia.try,psy.ch; ia.try; psy.ch.ia.tr.ist; psy.ch.ology; psy.ch.osis
gerontology,ger.onto.logy,onto.logy; pale.onto.logy; ger.ia.tric
gynecology,gyne.cology,gynephobia
paediatrics,pae.dia.trics,iatric; podiatry
podiatry,pod.iatry,psych.iatry; ped.iatrics; chiro.pod.ist; iatric; paediatrics
orthopaedics,ortho.paed.ics,ortho; paed; orthopedics
ophthalmology,oph.thal.mology,le.thal; phan
dermatology,derm.at.ology,pharm.ac.ology
prudent,,prude; prudence; impudent
jurisprudence,jur.is.prudence,jur.ist; prudent; prudence
psephology,,pseph; safe
endogamy,,endo; indo; exogamy
deuterogamy,deu.ter.o.gamy,deut.sch; deuter; second; bigamy
bigamy,big.amy,deuterogamy; digamy
exogamy,,bi.gamy; deuter.o.gamy
ethnography,ethn.ography,ethn.ology; ethn.ic; ethos; ethology
census,cens.us,cens.or; in.cen.tive; sens.or; con.sens.us; cense; survey
bibliography,biblio.graphy,paleography
archaeology,archae.ology,pale.ont.ology; arche; archi; tecture; archa; ography
chronology,chron.ology,chron.icle; chron.ograph; horology
anthropology,anth.rop.ology,anth.rope; phil.anth.ropist
gallows,gal.lows,gall
guillotine,guil.lot.ine,lot.ine; guil.ty
shackle,shack.le,hack; shack
pedagogy,,
stirp,stirp,stir
symbiosis,sym.bio.sis,
