word,segmentation,related_words
migraine,mig.raine,uk.raine; mig.rate; rain
cortex,cortex,vertex; vortex
cerebral,cere.bral,cere.bration; cere.brum; cere.bell.um; e.brate
flax,flax,flak; linen
mucus,muc.us,snot
walnut,wal.nut,wal.rus
chickpea,,garbanzo
-spec-,,
care unit,,care.unit; intensive
desperate,,
virile,vir.ile,vir.gin
osteoporosis,oste.o.por.o.sis,oste
re-enact,,re.enact
trove,,drove; stove
skittish,skit.tish,scud; skit
dementia,,ment; mental
yarn,,yard
swab,,SWAT
remedy,re.me.dy,re.me.di.able; melody
upend sb./sth.,,topple
preemie,pre.e.mie,
vassal,vass.al,vess.el; vase
hegemony,hege.mony,hedge.hog; Germany; mony
preponderance,,ponder; propound
notion,not.ion,not.ice; note
ruthless,,ruth
malevolent,malevolent,malicious; benevolent
juxtapose,jux.ta.pose,exhibition; juxtaposes; traditional; digital; media
benevolent,bene.vol.ent,male.vol.ent
brand,br.and,bland
exceptional,ex.cept.ion.al,ex.cept; per.cept.ion
piscatorial,pisca.tor.ial,pisca.tory; littoral
yaw,yaw,yawl; pitch; roll
armada,arm.ada,Invincible; Philip; Spain
pier,,stilt
hovel,hovel,shovel; hover; shack
hover,,hovel
gall,gall,gallows; gallant
galley,gall.ey,gall.ery; gall.eon; gull.ey; gully
barge,,budge; bargain; barter
tugboat,tug.boat,
kayak,kayak,canoe
propeller,,
dinghy,ding.hy,ding.y; small; open; boat; dark; dirty
winch,,wince
yacht,,
imposition,,impose; impostor
bloc,bloc,block; clot; blog; broc
delusion,,de.lir.ium
pundit,,
curb,curb,curd; curt; kerb
buggy,bug.gy,
coach,,
barrow,bar.row,
vehicle,ve.hi.cle,
scull,scull,scull.ery
paddle,padd.le,pudd.le; scull
oar,,paddle; scull
hatch,hatch,hatchet
scud,scud,scu.ttle; scu.rry
scuttle,,scud; cuttlefish; kettle
hull,,hulk
bow,bow,bowl; stern; port; starboard
sterile,,
stern,stern,port; starboard
hawser,,how.it.zer
gangway,,aisle
ballast,,
helmet,,helm
helm,helm,helmet; rudder
rudder,,rubber
ensign,,in.sign.ia
pennant,penn.ant,pend.ant; pend.ent
masturbate,mastur.bate,master
mast,mast,masturbation; mastodon; urbation
junk,,
clumsy,clum.sy,clump; clum; clumb
hulk,,hull
demographic,,
dowry,dow.ry,dow.dy
premise,pre.mise,pro.mise; pre.mises
reverie,reve.rie,reve.lation; revel.ry; rave; orgy
curt,cur.t,
curd,curd,delta; curt; curb
swat,SWAT,squad; spat; swab
deplore,de.plore,im.plore; ex.plore
explore,,
implore,im.plore,ex.plore; de.plore; im.plode; plor
ravish,rav.ish,lav.ish; rav.age; rave; raven; rapture; enrapture; rhapsody
raven,,
crave,crave,craven
rave,rave,raven
ravel,ravel,rave; rival
unravel,un.ravel,rave; ravel
reluctant,reluctant,averse; relent
occult,oc.cult,magic; sorcery; witchcraft; cult
trite,trite,de.trit.us; de.tri.ment; corny; boring
consort,,
consortium,,sort; consort
denounce,de.nounce,an.nounce; re.nounce; ounce
posterior,post.er.ior,er.ior; post
exterior,,facade
clump,clump,lump; clumsy; clamp; climb; tramp
rhino,,
rheo-,,
domicile,domic.ile,domes.tic
scullery,,scull
damn,,dame; deim
dam,,
dame,dame,madam; damn
inbound,,bound
gazetteer,gaze.tt.eer,gazelle
atlas,,
decrepit,de.crep.it,crep.us.cular; dis.crep.ancy; crept; creep
disparity,dis.par.ity,par.ity; dis.par.ate; dis.par.age; discrepancy
discrepancy,dis.crep.ancy,de.crep.it; dis.par
"shades of opinion , feeling",,
brass,br.ass,bra.zen
brazen,,brass
brazier,brazi.er,braz.en; Brazil; brass; blaze; blazer
spoon,,sponge; scoop
cleave,cleave,leave; cleaver
cleaver,,cleave; chopper
cullender,cull.en.der,
colander,co.land.er,cul.lend.er
goblet,,
skillet,skill.et,skill
cognate,cogn.ate,cog.it.ate; formal
bourgeois,,
loam,loam,foam
shear,shear,sheared; shorn; literary; sheer
harrow,har.row,har.row.ing; far.row; mar.row; Hal.low.een; fallow; hollow; hallow
fallow,,far.row
effulgent,,effigy
eos,eos,aurora
aurora,au.ro.ra,Laura; aroma
the gloaming,,the.gloam.ing; gloam.ing; loam; gloom
crepuscular,crep.us.cular,crep.us; cular; gloaming
mirage,,mirror; miracle; miasma
vertex,vert.ex,ap.ex; vort.ex; cort.ex; verge
apex,ap.ex,vert.ex
culmination,,
obverse,,convers.ation; converse; reverse
nadir,,dear
rendezvous,,
precinct,,cinct; succinct
locus,,
vicinity,,purlieus; milieu; precinct
purlieus,,mi.lieu; vicinity
milieu,mi.lieu,Mi.lei; pur.lieus; lieu
medium,medium,media
doldrums,dol.drums,doll; drums
plasma,,
miasma,mi.asma,mi.rage
dub,du.b,dubious
indelible,,
plateau,,platform; platitude; platoon; Plato
mensa,,
mesa,mesa,mensa
glade,glade,glad; glider; gloat
heather,heath.er,health; heath
moor,moor,moon
savanna,sa.van.na,
meadow,,
shoal,shoal,goal; foal; shale
littoral,litt.or.al,litt.er; pisca.tor.ial; lido
strand,,straddle
estuary,est.uary,uary
swamp,swamp,lamp; scamp; marsh
bog,,
quaver,qua.ver,Qua.ker; qua.ke; quail
morass,,moor; morose; mores
moss,,toss; lichen
mire,mire,fire; wire; mirth
mauve,mau.ve,maud.lin; marshmallow; mallow
marshmallow,marsh.mallow,marsh; mallow; marrow; mellow
marsh,marsh,marsh.mallow; marsh.al; wetland; swamp
leonine,,
galleon,gall.eon,leon; galley; gallon; chame; gall
chameleon,chame.leon,chame; leon; chamomile; chimera
humble,,
exhume,,
humus,,hummus; humour; detritus
tramp,tramp,trump; trample
trample,tramp.le,tramp
precursor,,cursor
genius,,genie; genial
genie,,genius
non-proliferation,,proliferate
catalepsy,cata.lepsy,epi.lepsy; narco.lepsy
epilepsy,epi.lepsy,lep.rosy; cata.lepsy; narco.lepsy
lemma,lemma,dilemma
dilemma,di.lem.ma,lem.ma
slew,,slow; skew; swerve
mug,,
splurge,spl.urge,spl.ash; split
squander,squ.and.er,qu.and.ary; qu.arrel
content,content,intent; intend; contend
dud,dud,
mole,,vole
milksop,,soup
cockney,cock.ney,
posh,,
clandestine,,
crag,crag,crab; crap; scarp; precipice; Craig
precipice,pre.cip.ice,it.ate; scarp; crag
nick,,
notch,notch,
defile,,
detour,,
puddle,,poodle; pudding
acclivity,ac.cliv.ity,pro.cliv.ity; de.cliv.ity
slant,slant,sland.er; n.v.adj; slang; slate; scant; skew
decant,de.cant,de.cant.er; s.cant; des.cant
cant,cant,scant
facade,fac.ade,exterior; obverse
edifice,edi.fice,of.fice; sacri.fice; suf.fice; ori.fice; bene.fice; arti.fice
labyrinth,,rinse
maze,,maize; corn
tarn,,tare
geyser,,haw.ser
vortex,vor.tex,cor.tex; ver.tex
eddy,,
crook,,
creek,,
brook,brook,brook.lyn; brook.ings; brood
rivulet,rivu.let,river; rivet
affluent,af.flu.ent,con.flu.ence; opulent
tributary,tri.but.ary,tri.bute; tri.bul.ation
ramification,ram.ific.ation,ram.ify; branch; ramen; complication
offshoot,,scion; offspring; splinter
cavern,,
crater,,crate; cater
isthmus,,
gulf,,
strait,strait,straitened; ened
gully,,gulley; gullet; gull; gullible
gorgeous,gorg.eous,gorge
gorge,gorge,gorge.ous; orge; gouge; gully; ravine
ravine,rav.ine,rap.id; rape
mound,,round; mount; mountain
knoll,,knock
hummock,hum.mock,hum.mus; hum.us; chipmunk; mock
ridge,ridge,ab.ridge; bridge
shack,shack,sack; shackle; shake
repertory,re.pert.ory,pert; repertoire; perk; perky
reservoir,re.serv.oir,re.serve
repository,re.posit.ory,posit.ion; re.pose; tory; repertory; repertoire
larder,,lard; larceny
pantry,pan.try,pal.try; pan.ty; pas.try; pas.ty
mortuary,mort.uary,mort.gage; sanct.uary
necromancer,necromancer,gourmand; necromancy; chiromancy; chiromancer
necropsy,necro.psy,auto.psy; necro.mancer; pathy
necropolis,necro.polis,necro.mancer; necro.psy
cement,,
cemetery,ce.met.ery,co.met; ce.ment
catacombs,cata.combs,comb; cata
tumulus,tu.mul.us,tu.muli; cu.mul.us; tu.mult.uous
quarry,,quar; quarter
gusher,gush.er,geyser; spout; about; gush
alcove,,cove.nant; cave
levee,,
fossil,,fosse
fosse,fosse,foss.il; floss; moat
moat,moat,boat; moan
bole,,
boulevard,,bourgeois
bulwark,bul.wark,stal.wart; worry.wart; wark; work
rampart,ram.part,ram.pant; ram.page
viaduct,,
harbour,,harbor
ingress,ingress,egress; digress; inbound; outbound
digress,digress,vt.vi; diverge; divert; ingress; egress
egress,e.gress,in.gress; di.gress; in.bound; out.bound
lintel,,nortel; lint
gambol,gam.bol,gam.ble; gam.bit; frolic
gammon,,gambit
